,CO2_eq_kg,SO2_eq_kg,PM25_eq_kg
total_impacts_China,0.1249066473462037,0.0013337174739889996,7.316021776612064e-05
total_impacts_Cambodia,0.0906710024550711,0.0009151923347114611,4.807359853483319e-05
total_impacts_LaoPDR,0.023857374132473148,0.0002601672945131871,1.4294271882868636e-05
total_impacts_Myanmar,0.05137629460809184,3.6160714362979326e-05,1.432952008225659e-06
total_impacts_Thailand,0.14954021604551426,0.0004121598076757162,2.044749858922222e-05
total_impacts_Vietnam,0.08588338927101113,0.0006360618504244771,3.389348386250036e-05
