,CO2_eq_kg,SO2_eq_kg,PM25_eq_kg
total_impacts_China,0.12490453803739457,0.0013337427516006241,7.320137730959102e-05
total_impacts_Cambodia,0.090674560249908,0.0009155492023153306,5.0069465334045396e-05
total_impacts_LaoPDR,0.023860095271998023,0.0002604598293829279,1.590006510047298e-05
total_impacts_Myanmar,0.051378613522648886,3.64258417688695e-05,2.8667921719930977e-06
total_impacts_Thailand,0.14954373618890107,0.0004125135704900414,2.2424863423058373e-05
total_impacts_Vietnam,0.08588422801664912,0.0006362161646185109,3.465073745673217e-05
