,CO2_eq_kg,SO2_eq_kg,PM25_eq_kg
total_impacts_China,0.12490231800089766,0.001333492334297113,7.158604645068798e-05
total_impacts_Cambodia,0.09066852144161609,0.0009151561426731007,4.775747888557269e-05
total_impacts_LaoPDR,0.023853441956322288,0.000260157680565527,1.4263529122554442e-05
total_impacts_Myanmar,0.05137200517352244,3.605261685074743e-05,8.336291264753138e-07
total_impacts_Thailand,0.14954021604551426,0.0004121598076757162,2.044749858922222e-05
total_impacts_Vietnam,0.08588422801664912,0.0006362161646185109,3.465073745673217e-05
