,CO2_eq_kg,SO2_eq_kg,PM25_eq_kg
total_impacts_China,0.12490276389477362,0.0013336051564079826,7.241776042695206e-05
total_impacts_Cambodia,0.0906710024550711,0.0009151923347114611,4.807359853483319e-05
total_impacts_LaoPDR,0.023857374132473148,0.0002601672945131871,1.4294271882868636e-05
total_impacts_Myanmar,0.05137629460809184,3.6160714362979326e-05,1.432952008225659e-06
total_impacts_Thailand,0.14953627475489137,0.0004121504172950305,2.0418230333604207e-05
total_impacts_Vietnam,0.08587850702744614,0.0006359870833502534,3.3460231330698414e-05
