,CO2_eq_kg,SO2_eq_kg,PM25_eq_kg
total_impacts_China,0.12490123113637316,0.001333647236369998,7.27594103889152e-05
total_impacts_Cambodia,0.09066745204239834,0.0009152177508612989,4.826023832559704e-05
total_impacts_LaoPDR,0.023853441956322288,0.000260157680565527,1.4263529122554442e-05
total_impacts_Myanmar,0.051372497557064765,3.6173899836005154e-05,1.5445524254181786e-06
total_impacts_Thailand,0.14953627475489137,0.0004121504172950305,2.0418230333604207e-05
total_impacts_Vietnam,0.08587850702744614,0.0006359870833502534,3.3460231330698414e-05
